product_name,price,image_name,integration_date,supermarket
"SNACK FUN Pörkölt, sózott tökmag",349,csm_KW44_akcios_kinalat_kicsi_44_a6aa40d2bb.jpg,2021-11-03 13:18:35.718212,aldi
DANONE Actimel joghurtital,449,csm_KW44_akcios_kinalat_kicsi_45_c0472c6ecd.jpg,2021-11-03 13:18:35.720258,aldi
HAPPY HARVEST Kenyérlisztkeverék,349,csm_KW44_akcios_kinalat_kicsi_46_0cbb0c24e8.jpg,2021-11-03 13:18:35.720985,aldi
AZON MELEGÉBEN Mini olívás bagett,119,csm_KW44_akcios_kinalat_kicsi_47_47a18d9b39.jpg,2021-11-03 13:18:35.722235,aldi
ARANY FÁCÁN Világos sör,199,csm_KW44_akcios_kinalat_kicsi_48_05e479c97e.jpg,2021-11-03 13:18:35.723441,aldi
PURE FRUITS Ananászlé,329,csm_KW44_akcios_kinalat_kicsi_49_188e88ce1f.jpg,2021-11-03 13:18:35.724440,aldi
AZON MELEGÉBEN Bajor perec,79,csm_KW44_akcios_kinalat_kicsi_50_f3bfed4e9f.jpg,2021-11-03 13:18:35.726435,aldi
FINEST BAKERY Crunchy Granola Bites,399,csm_KW44_akcios_kinalat_kicsi_51_961604378a.jpg,2021-11-03 13:18:35.727096,aldi
Balaton szelet,69,csm_KW44_akcios_kinalat_kicsi_52_265ecb203a.jpg,2021-11-03 13:18:35.728092,aldi
TIC TAC Cukordrazsé,299,csm_KW44_akcios_kinalat_kicsi_53_aac1344964.jpg,2021-11-03 13:18:35.728092,aldi
ROMEO PREMIUM Prémium kutyasnack,499,csm_KW44_akcios_kinalat_kicsi_54_3160b311f6.jpg,2021-11-03 13:18:35.730107,aldi
KOKETT Papír zsebkendõ,109,csm_KW44_akcios_kinalat_kicsi_55_7e24acf36f.jpg,2021-11-03 13:18:35.731114,aldi
SILAN Öblítõ,699,csm_KW44_akcios_kinalat_kicsi_56_d24461923b.jpg,2021-11-03 13:18:35.731114,aldi
HAPPY PET Hántolt madáreleség,999,csm_KW44_akcios_kinalat_kicsi_57_26983607a0.jpg,2021-11-03 13:18:35.732149,aldi
Száraz kutyaeledel,1 799,csm_KW44_akcios_kinalat_kicsi_58_9b1dd1c959.jpg,2021-11-03 13:18:35.733448,aldi
HÚSMESTER Darált sertéshús,499,csm_KW43_akcios_kinalat_kicsi_01_7002314ee4.jpg,2021-11-03 13:18:35.734606,aldi
HÚSMESTER Friss pecsenyekacsa-mellfilé bõrrel,999,csm_KW43_akcios_kinalat_kicsi_02_6e8a3b13b2.jpg,2021-11-03 13:18:35.735601,aldi
MILFINA Tejföl,110,csm_KW43_akcios_kinalat_kicsi_03_531b09d8a7.jpg,2021-11-03 13:18:35.736861,aldi
MILFINA Rögös túró,419,csm_KW43_akcios_kinalat_kicsi_04_2d439a7815.jpg,2021-11-03 13:18:35.739043,aldi
Frankfurti vagy koktél frankfurti virsli,629,csm_KW43_akcios_kinalat_kicsi_05_e6b5633be7.jpg,2021-11-03 13:18:35.739043,aldi
FERRERO Nutella mogyorókrém,949,csm_KW43_akcios_kinalat_kicsi_06_0ef11ae31d.jpg,2021-11-03 13:18:35.740067,aldi
AZON MELEGÉBEN Tepertõs hatszög,69,csm_KW43_akcios_kinalat_kicsi_07_59cb6d2fc5.jpg,2021-11-03 13:18:35.741189,aldi
AZON MELEGÉBEN Pikáns melegszendvics,189,csm_KW43_akcios_kinalat_kicsi_08_8375b70201.jpg,2021-11-03 13:18:35.743273,aldi
HÚSMESTER Csirkefelsõ- vagy csirkealsócomb,679,csm_KW43_akcios_kinalat_kicsi_09_a488f58d21.jpg,2021-11-03 13:18:35.744269,aldi
HÚSMESTER Sertéslapocka,1 079,csm_KW43_akcios_kinalat_kicsi_10_f9143861b5.jpg,2021-11-03 13:18:35.746268,aldi
MILFINA UHT tej,189,csm_KW43_akcios_kinalat_kicsi_11_5d5a4b1acd.jpg,2021-11-03 13:18:35.746360,aldi
Csirke- vagy pulykamellsonka,299,csm_KW43_akcios_kinalat_kicsi_13_610bbc7a32.jpg,2021-11-03 13:18:35.747588,aldi
Csemege vagy paprikás szalámi,1 299,csm_KW43_akcios_kinalat_kicsi_14_c84e8bc1ec.jpg,2021-11-03 13:18:35.748573,aldi
HÚSMESTER Pulyka darált hús,449,csm_KW43_akcios_kinalat_kicsi_40_1d4e0b3b1d.jpg,2021-11-03 13:18:35.752997,aldi
Löncshús,319,csm_KW43_akcios_kinalat_kicsi_41_21777aff72.jpg,2021-11-03 13:18:35.754993,aldi
Csemegesonka,319,csm_KW43_akcios_kinalat_kicsi_42_dc439e0175.jpg,2021-11-03 13:18:35.756974,aldi
KOKÁRDÁS Tömlõs sajt,85,csm_KW43_akcios_kinalat_kicsi_43_0ea02c7fb3.jpg,2021-11-03 13:18:35.759011,aldi
MILFINA - ENJOY FREE! Laktózmentes UHT tej,209,csm_KW43_akcios_kinalat_kicsi_44_ecdf156591.jpg,2021-11-03 13:18:35.759011,aldi
MILFINA Fûszeres sajtkoszorú,349,csm_KW43_akcios_kinalat_kicsi_45_78e4094d20.jpg,2021-11-03 13:18:35.759963,aldi
MILLI Krémtúró,149,csm_KW43_akcios_kinalat_kicsi_46_b9d9b2f96c.jpg,2021-11-03 13:18:35.759963,aldi
KINDER Tejszelet,99,csm_KW43_akcios_kinalat_kicsi_47_62a3b5f403.jpg,2021-11-03 13:18:35.762875,aldi
PRIMANA Lencsés egytálétel,499,csm_KW43_akcios_kinalat_kicsi_48_329ea55bf9.jpg,2021-11-03 13:18:35.764870,aldi
LE GUSTO Majonéz vagy remulád-mártás,359,csm_KW43_akcios_kinalat_kicsi_49_98dcfc4294.jpg,2021-11-03 13:18:35.765865,aldi
ALMARE SEAFOOD Heringfilé szószban,289,csm_KW43_akcios_kinalat_kicsi_50_59b287c9b4.jpg,2021-11-03 13:18:35.766861,aldi
AZON MELEGÉBEN Vajas croissant,59,csm_KW43_akcios_kinalat_kicsi_51_518e20dbd7.jpg,2021-11-03 13:18:35.767865,aldi
BELLA Étkezési mák,299,csm_KW43_akcios_kinalat_kicsi_52_ccdd72f40f.jpg,2021-11-03 13:18:35.767865,aldi
VILLÁNY Cabernet Sauvignon,829,csm_KW43_akcios_kinalat_kicsi_53_48c25f8118.jpg,2021-11-03 13:18:35.768862,aldi
AZON MELEGÉBEN Sokmagvas bagett,199,csm_KW43_akcios_kinalat_kicsi_54_e96e491855.jpg,2021-11-03 13:18:35.771821,aldi
NESQUIK Kakaóitalpor,1 499,csm_KW43_akcios_kinalat_kicsi_55_5d7352ef63.jpg,2021-11-03 13:18:35.774886,aldi
Szörp,499,csm_KW43_akcios_kinalat_kicsi_56_83993ab4dd.jpg,2021-11-03 13:18:35.776889,aldi
KINDER Country,399,csm_KW43_akcios_kinalat_kicsi_57_a1f53696ae.jpg,2021-11-03 13:18:35.777885,aldi
SNACK FUN Burgonyasnack,399,csm_KW43_akcios_kinalat_kicsi_58_5632902521.jpg,2021-11-03 13:18:35.777885,aldi
VOGEL Téli madáreleség,299,csm_KW43_akcios_kinalat_kicsi_59_c7795af524.jpg,2021-11-03 13:18:35.777885,aldi
JULIUS K-9 Kutyaeledel pástétom,429,csm_KW43_akcios_kinalat_kicsi_60_5b3ef0b3fe.jpg,2021-11-03 13:18:35.777885,aldi
"JULIUS K-9 Alutasakos kutyaeledel, 12 tasak",1 499,csm_KW43_akcios_kinalat_kicsi_61_3bbf27ea29.jpg,2021-11-03 13:18:35.777885,aldi
"PREVITAL XXL Box alutasakos macskaeledel, 48 tasak",3 333,csm_KW43_akcios_kinalat_kicsi_62_30dcf322c5.jpg,2021-11-03 13:18:35.782599,aldi
